paper_id,year,venue,n_authors,authors,affiliation,robustness_type,method_paradigm
159,2024,"ICML 2024 (Proceedings of the 41st International Conference on Machine Learning, PMLR 235)",3,Jeremy McMahan; Giovanni Artiglio; Qiaomin Xie,"University of Wisconsin-Madison, USA","Model uncertainty in Markov games (reward-function uncertainty and transition uncertainty), under s-rectangular and (s,a)-rectangular uncertainty sets; sim-to-real gap.",Robust Markov game (RMG) theory; robustness-regularization equivalence (duality via support functions / Legendre-Fenchel transform); regularized Markov games; game-theoretic equilibrium (robust Nash equilibrium); computational complexity (PPAD-hardness) and polynomial-time planning.
161,2021,"Not specified (arXiv:2103.06967 [eess.SY], 11 Mar 2021)",3,Martin Figura; Krishna Chaitanya Kosaraju; Vijay Gupta,"Department of Electrical Engineering, University of Notre Dame, Notre Dame, IN, USA","Adversarial agent / insider attack on communication in cooperative networked MARL (a participating agent is malicious, compromising consensus and critic updates and broadcasting false reward/value signals); related to fault tolerance and resilient consensus.",Consensus-based decentralized actor-critic (networked MARL); attack design + convergence (ODE / stochastic approximation) analysis; demonstrates fragility rather than proposing a defense.
165,2023,ICLR 2023 (Tiny Papers Track),7,Xusheng Zhang; Wei Zhang; Yishu Gong; Liangliang Yang; Jianyu Zhang; Zhengyu Chen; Sihong He,Pennsylvania State University; Harvard University; Washington State University; University of Michigan; Zhejiang University; University of Connecticut (inferred from author email domains),"Observation-wise and execution-wise uncertainty injected as Gaussian noise (i.i.d. noise added to the policy input/observation and to the policy output/action); measurement, model, and operation errors.",Empirical robustness evaluation via Gaussian noise attacks (GNAs) on a pre-trained MARL benchmark; no new robust training method proposed.
167,,Not specified (arXiv preprint; eess.SY),3,Yijing Xie; Shaoshuai Mou; Shreyas Sundaram,"Purdue University, West Lafayette, IN (College of Engineering; School of Aeronautics and Astronautics; School of Electrical and Computer Engineering)",Byzantine/fault tolerance — adversarial (Byzantine) agents in a networked peer-to-peer MARL system that can behave arbitrarily and send conflicting/incorrect values to neighbors.,Resilient distributed Q-learning (QD-learning) with consensus + innovations; trimmed-mean / value-filtering (removing F highest and F lowest neighbor values); robust network topology ((2F+1)-robust graphs); almost-sure convergence analysis.
168,2020,CoRL 2020 (4th Conference on Robot Learning),2,Jan Blumenkamp; Amanda Prorok,"Department of Computer Science and Technology, University of Cambridge, United Kingdom",Communication attacks / adversarial (manipulative) inter-agent communication; self-interested agents sending false messages over a shared learnable communication channel,"Graph Neural Networks (Aggregation GNNs), policy-gradient actor-critic (VPG/PPO) with centralized critic, emergent communication, post-hoc interpretability (white-box analysis)"
169,2024,"Frontiers of Computer Science 2024, 18(6): 186331",4,Lei Yuan; Feng Chen; Zongzhang Zhang; Yang Yu,"National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China; Polixir Technologies, Nanjing, China",Communication attacks / message perturbation in cooperative MARL (noise or hostile adversarial perturbations injected into inter-agent message channels),Adversarial training; auxiliary adversary generation modeled as a cooperative MARL attack problem; population-based / evolutionary learning (Quality-Diversity); minimax-style alternating training; value decomposition (QMIX-style) for the attacker; actor-critic (MATD3)
174,2021,"Not specified (Copyright © 2021, AAAI; likely an AAAI-affiliated workshop/conference paper)",3,Eleni Nisioti; Daan Bloembergen; Michael Kaisers,"Centrum Wiskunde & Informatica, Amsterdam, The Netherlands","Adversarial agents / action manipulation — a fixed number of adversaries adversarially select both which agents to attack and the actions those agents perform (a ""multi-agent adversarial attack""); robustness without simulating attacks during training.","Minimax decision rules, temporal-difference / Q-learning, robust Bellman operator, linear programming (per-partition minimax), worst-case (zero-sum opponent) modeling, CTDE."
176,2025,"Not specified (arXiv:2309.14792v2 [cs.RO], 28 Feb 2025)",5,Wenshuai Zhao; Eetu-Aleksi Rantala; Sahar Salimpour; Joni Pajarinen; Jorge Peña-Queralta,"Aalto University (Dept. of Electrical Engineering and Automation), Finland; Turku Intelligent Embedded and Robotic Systems (TIERS) Lab, University of Turku, Finland; Institute of Robotics and Intelligent Systems, ETH Zurich, Switzerland","Agent failure / component failure (manipulator agent disablement), perturbation of an agent's initial state, system disturbances in interconnected control; robustness arising from partial (local) observability",MARL vs. SARL comparison; policy-gradient equivalence analysis; Dec-MDP / Dec-POMDP; decentralized control with local observations; MAPPO/PPO; illustrative decentralized PI control
179,2025,"Not specified (arXiv:2504.03120v3 [eess.SY], 10 Sep 2025)",2,Haejoon Lee; Dimitra Panagou,"Department of Robotics, University of Michigan, Ann Arbor; Department of Aerospace Engineering, University of Michigan, Ann Arbor",Misbehaving / malicious agents that share faulty or biased information (resilient consensus under an F-total attack); fault tolerance and Byzantine-style information attacks; safety constraints (inter-agent collision avoidance),"Control Barrier Functions (CBF) / CBF-based Quadratic Program; W-MSR (Weighted Mean-Subsequence-Reduced) resilient consensus; distributed/decentralized control; degree-based sufficient condition for network resilience; graph-theoretic robustness ((r,s)-robustness)"
181,2023,"Not specified (Preprint submitted to Automatica; arXiv:2309.01201v1 [math.OC], 3 Sep 2023)",2,Xunhao Wu; Jun Fu,"State Key Laboratory of Synthetical Automation for Process Industries, Northeastern University, Shenyang 110819, China","Bounded (set-based) uncertainty in the local objective functions and constraints of agents (measurement/estimation and implementation errors); worst-case robust convex optimization with semi-infinite constraints. This is a distributed optimization/control formulation, not adversarial/RL robustness.",Distributed robust convex optimization (DRCO); right-hand-side restriction approach; cutting-surface / discretization-based outer-and-inner approximation (lower-bounding and upper-bounding procedures); finite-time consensus-based termination. Not an RL / minimax-game method.
182,2025,NeurIPS 2025,6,Niklas Lauffer; Ameesh Shah; Micah Carroll; Sanjit A. Seshia; Stuart Russell; Michael Dennis,UC Berkeley; Google DeepMind,"Adversarial agents / partner-strategy robustness in general-sum (especially cooperative) games; robustness to differing/unseen partners, adversarial example discovery, and policy diversity. Addresses the ""self-sabotage"" failure mode of naive adversarial optimization in cooperative settings.","Adversarial optimization, opponent shaping, policy gradient with higher-order (meta-)gradients, best-response rationality constraint, auto-curriculum / population-based diversity, cross-play."
184,2016,"International Journal of Information Technology and Computer Science (IJITCS), Vol.8, No.9, pp.39-48, 2016 (MECS Press)",2,Yasir Arfat; Fathy Elbouraey Eassa,"Department of Computer Science, King Abdul Aziz University, Jeddah, Saudi Arabia","Agent failure / fault tolerance in multi-agent systems (MAS) — machine crashes, process failure, software failure, communication failure, hardware failure; faults classified as ""fail silent"" (crash-type) and ""fail uncontrolled"". Not an RL / robust-MARL learning paper; robustness here means classical distributed-systems fault tolerance.","Survey / taxonomy of fault tolerance techniques — replication-based (active, passive, adaptive), non-replication-based (architecture-oriented and mathematical/algorithmic), and hybrid approaches; qualitative comparison and evaluation. (No learning/RL algorithm; not minimax, certified robustness, or game-theoretic equilibrium.)"
185,2024,IFIP 2024 (ISBN 978-3-903176-65-2; published via IEEE Xplore),5,Hairi; Minghong Fang; Zifan Zhang; Alvaro Velasquez; Jia Liu,"University of Wisconsin-Whitewater (CS); University of Louisville (CSE); North Carolina State University (CS); University of Colorado, Boulder (CS); The Ohio State University (ECE)","Byzantine/fault tolerance — up to f faulty agents under a model poisoning attack, which can send arbitrary and inconsistent information to neighbors during communication in a fully decentralized network.",Impossibility/hardness theory; Byzantine-tolerant decentralized temporal-difference (TD) learning; f-trimmed-mean robust aggregation; decentralized consensus.
186,2018,ICLR 2018 (Workshop track),3,Chao Gao; Martin Müller; Ryan Hayward,University of Alberta (email domain ualberta.ca),Worst-case / adversarial opponent in two-player zero-sum alternating-turn games (estimate the minimum rather than the mean return); robustness motivated by analogy to robust adversarial RL where errors occur in simulated models.,"Adversarial policy gradient, minimax / worst-case ""critic"", generalized policy iteration, self-play, Monte Carlo policy gradient (REINFORCE variants), actor-critic, game-theoretic (Alternating Markov Games)."
189,2021,"IEEE Transactions on Automatic Control, Vol. 66, No. 5, May 2021",2,Lili Su; Nitin H. Vaidya,"Computer Science and Artificial Intelligence Laboratory, Massachusetts Institute of Technology (Lili Su); Department of Computer Science, Georgetown University (Nitin H. Vaidya)","Byzantine faults / fault tolerance (an unknown subset of agents behave adversarially, can collude, and can send arbitrary, possibly inconsistent messages to different neighbors) in a decentralized multiagent optimization setting with no central coordinator",Byzantine-resilient (approximate) consensus combined with local gradient descent; trimming/filtering of received values (Trim removes the b largest and b smallest); projected gradient descent; provable robustness via graph-topological conditions (reduced graphs / source components)
190,2022,"Not specified (arXiv:2203.06803v4, 14 Jun 2022)",3,Qinghua Liu; Yuanhao Wang; Chi Jin,Princeton University,"Adversarial opponents in two-player zero-sum Markov games; the opponent may play arbitrary, history-dependent (general) or Markov policies that can change adversarially across episodes. The learner seeks to exploit suboptimal/adaptive opponents while remaining invulnerable to optimal ones.","No-regret learning (regret against the best fixed policy in hindsight), online learning, EXP3 / optimistic policy evaluation (UCB-style exploration bonus), minimax / game-theoretic equilibrium, statistical and computational lower bounds (reductions to POMDPs / latent MDPs / 3-SAT)."
192,2024,AAAI 2024 (The Thirty-Eighth AAAI Conference on Artificial Intelligence),4,Young Wu; Jeremy McMahan; Xiaojin Zhu; Qiaomin Xie,University of Wisconsin - Madison,Offline data poisoning / reward poisoning attacks on MARL (adversarial manipulation of the training dataset to install a fictitious Nash equilibrium),"Game-theoretic equilibrium characterization (unique Nash set / unique Nash polytope), attacker's theory-of-mind set, linear program / convex optimization, inverse reinforcement learning generalization"
193,2025,"Not specified (arXiv:2212.02459v3, cs.RO, 14 Jan 2025; partially presented at IEEE Conference on Decision and Control [1])",4,Michal Yemini; Angelia Nedić; Andrea J. Goldsmith; Stephanie Gil,"Bar-Ilan University (Faculty of Engineering); Arizona State University (Electrical, Computer and Energy Engineering); Princeton University (Electrical and Computer Engineering); Harvard University (Computer Science, School of Engineering and Applied Sciences)",Malicious / Byzantine agents in distributed optimization (adversarial injection of falsified or manipulated data over a network); resilience even when malicious agents form a majority.,Resilient distributed (sub)gradient optimization exploiting stochastic inter-agent trust values; learning trusted neighbors; worst-case adversary modeling; convergence-rate analysis.
